n_trial,uncertainty,share,Predicted_MC_1up,Predicted_MC,Instr,Task1Seek,check,ID,mc_model,,ValInstr,UncIntr,ValUnc,3Qway
41,32,6,0,-405,1,2,4,558e734efdf99b3a5619b5d5,-405,0,-405,32,-12960,-12960
42,25,6,1,463,1,2,4,558e734efdf99b3a5619b5d5,417,0,417,25,10425,10425
43,41,6,0,-437,1,2,4,558e734efdf99b3a5619b5d5,-437,0,-437,41,-17917,-17917
44,91,6,0,-491,1,2,4,558e734efdf99b3a5619b5d5,-423,0,-423,91,-38493,-38493
46,25,6,0,-469,1,2,4,558e734efdf99b3a5619b5d5,-469,0,-469,25,-11725,-11725
47,98,6,0,-484,1,2,4,558e734efdf99b3a5619b5d5,423,0,423,98,41454,41454
48,20,6,0,-424,1,2,4,558e734efdf99b3a5619b5d5,-424,0,-424,20,-8480,-8480
1,53,6,1,439,0,2,4,562a00dac8ffc20012513fbe,-416,0,0,0,-22048,0
2,77,4,0,-474,0,2,4,562a00dac8ffc20012513fbe,-474,0,0,0,-36498,0
3,34,4,0,-448,0,2,4,562a00dac8ffc20012513fbe,-400,0,0,0,-13600,0
4,39,4,0,-425,0,2,4,562a00dac8ffc20012513fbe,-458,0,0,0,-17862,0
5,89,6,1,479,0,2,4,562a00dac8ffc20012513fbe,479,0,0,0,42631,0
7,56,6,0,-411,0,2,4,562a00dac8ffc20012513fbe,476,0,0,0,26656,0
8,47,6,0,-460,0,2,4,562a00dac8ffc20012513fbe,424,0,0,0,19928,0
9,43,6,0,-407,0,2,4,562a00dac8ffc20012513fbe,466,0,0,0,20038,0
11,24,4,1,440,0,2,4,562a00dac8ffc20012513fbe,440,0,0,0,10560,0
12,82,6,1,433,0,2,4,562a00dac8ffc20012513fbe,-479,0,0,0,-39278,0
13,6,4,0,-441,0,2,4,562a00dac8ffc20012513fbe,-441,0,0,0,-2646,0
14,3,4,1,485,0,2,4,562a00dac8ffc20012513fbe,485,0,0,0,1455,0
15,1,4,1,489,0,2,4,562a00dac8ffc20012513fbe,489,0,0,0,489,0
17,85,6,1,494,0,2,4,562a00dac8ffc20012513fbe,-409,0,0,0,-34765,0
18,88,4,1,486,0,2,4,562a00dac8ffc20012513fbe,490,0,0,0,43120,0
19,55,4,0,-410,0,2,4,562a00dac8ffc20012513fbe,-410,0,0,0,-22550,0
20,52,6,0,-401,0,2,4,562a00dac8ffc20012513fbe,444,0,0,0,23088,0
21,60,4,0,-417,0,2,4,562a00dac8ffc20012513fbe,-417,0,0,0,-25020,0
22,80,5,0,-400,0,2,4,562a00dac8ffc20012513fbe,-477,0,0,0,-38160,0
24,8,4,0,-478,0,2,4,562a00dac8ffc20012513fbe,-478,0,0,0,-3824,0
25,11,4,0,-412,0,2,4,562a00dac8ffc20012513fbe,-412,0,0,0,-4532,0
27,92,6,1,479,0,2,4,562a00dac8ffc20012513fbe,-421,0,0,0,-38732,0
28,97,6,1,410,0,2,4,562a00dac8ffc20012513fbe,-437,0,0,0,-42389,0
29,84,4,0,-420,0,2,4,562a00dac8ffc20012513fbe,-420,0,0,0,-35280,0
30,73,4,0,-422,0,2,4,562a00dac8ffc20012513fbe,-440,0,0,0,-32120,0
32,29,4,0,-472,0,2,4,562a00dac8ffc20012513fbe,-440,0,0,0,-12760,0
33,44,4,0,-451,0,2,4,562a00dac8ffc20012513fbe,-419,0,0,0,-18436,0
34,98,6,1,462,0,2,4,562a00dac8ffc20012513fbe,451,0,0,0,44198,0
35,32,6,0,-480,0,2,4,562a00dac8ffc20012513fbe,431,0,0,0,13792,0
36,76,4,0,-483,0,2,4,562a00dac8ffc20012513fbe,-483,0,0,0,-36708,0
