config_feature,config_value,n_games,n_player_round_rows,share_any,mean_units,median_units,p95_units,mean_targets,conditional_mean_units_if_any,delta_vs_overall_mean_units,delta_vs_overall_share_any
CONFIG_punishmentMagnitude,15,2,130,0.23846153846153847,1.2153846153846153,0.0,9.0,1.0692307692307692,5.096774193548387,0.19573016475134453,0.06160696010981606
CONFIG_punishmentMagnitude,16,2,256,0.23046875,0.64453125,0.0,3.25,0.59375,2.7966101694915255,-0.37512320063327076,0.053614171648277587
CONFIG_punishmentMagnitude,2,20,3215,0.19253499222395024,1.3088646967340591,0.0,8.0,0.7552099533437014,6.798061389337641,0.2892102461007884,0.015680413872227822
CONFIG_punishmentMagnitude,3,26,3928,0.2105397148676171,1.3918024439918533,0.0,7.649999999999636,0.9289714867617108,6.610640870616687,0.3721479933585825,0.03368513651589469
CONFIG_punishmentMagnitude,4,20,1592,0.21105527638190955,0.6658291457286433,0.0,4.0,0.49748743718592964,3.1547619047619047,-0.3538253049046275,0.03420069803018713
CONFIG_punishmentMagnitude,5,14,2160,0.13564814814814816,0.4773148148148148,0.0,3.0,0.3912037037037037,3.5187713310580206,-0.542339635818456,-0.04120643020357426
CONFIG_punishmentMagnitude,6,22,4270,0.18548009367681498,2.3140515222482434,0.0,6.0,0.5559718969555035,12.4760101010101,1.2943970716149726,0.008625515325092564
CONFIG_punishmentMagnitude,7,19,3650,0.1463013698630137,0.5438356164383562,0.0,4.0,0.4301369863013699,3.7172284644194757,-0.47581883419491455,-0.03055320848870871
CONFIG_punishmentMagnitude,8,10,2260,0.1517699115044248,0.34690265486725663,0.0,2.0,0.30398230088495576,2.2857142857142856,-0.6727517957660141,-0.025084666847297626
CONFIG_punishmentMagnitude,9,12,3372,0.19661921708185054,0.7766903914590747,0.0,3.0,0.5776986951364176,3.9502262443438916,-0.24296405917419606,0.019764638730128126
CONFIG_rewardMagnitude,1,48,7612,0.13794009458749343,0.9588807146610615,0.0,5.0,0.5178665265370468,6.951428571428571,-0.06077373597220925,-0.038914483764228985
CONFIG_rewardMagnitude,2,50,8929,0.16396012991376413,0.6091387613394557,0.0,3.0,0.48796057789226116,3.7151639344262297,-0.4105156892938151,-0.012894448437958284
CONFIG_rewardMagnitude,3,52,6631,0.2148997134670487,0.8327552405368722,0.0,4.0,0.6824008445181722,3.8750877192982456,-0.18689921009639854,0.038045135115326284
CONFIG_rewardMagnitude,4,23,3053,0.20700949885358663,2.4448083851948903,0.0,6.0,0.6049787094660989,11.810126582278482,1.4251539345616195,0.03015492050186422
CONFIG_rewardMagnitude,5,7,1312,0.13185975609756098,1.7789634146341464,0.0,3.4500000000000455,0.3010670731707317,13.491329479768787,0.7593089640008757,-0.04499482225416143
CONFIG_rewardMagnitude,6,2,650,0.3707692307692308,1.0507692307692307,0.0,4.0,1.0261538461538462,2.8340248962655603,0.03111478013595992,0.19391465241750838
CONFIG_showNRounds,False,92,14300,0.1853846153846154,1.2937762237762238,0.0,5.0,0.6227972027972027,6.978875895888344,0.27412177314295305,0.008530037032892984
CONFIG_showNRounds,True,90,13887,0.1680708576366386,0.7373802837185858,0.0,4.0,0.49161085907683444,4.387317909168809,-0.282274166914685,-0.00878372071508382
CONFIG_showOtherSummaries,False,92,14481,0.18797044403010843,1.3757337200469582,0.0,5.0,0.6472619294247635,7.318883174136664,0.3560792694136874,0.011115865678386017
CONFIG_showOtherSummaries,True,90,13706,0.16511017072814826,0.6434408288340873,0.0,3.0,0.4640303516708011,3.897039328325232,-0.3762136217991835,-0.011744407623574149
