treatment_name,metric,generated_game_count,human_game_count,wasserstein_distance,run_name,run_label,treatment_label,score,family_name
VALIDATION_5_T,mean_round_normalized_efficiency,12,12,0.238136574074074,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,5-T,0.238136574074074,gpt-5-mini
VALIDATION_6_C,mean_round_normalized_efficiency,12,12,0.5176198741251004,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,6-C,0.5176198741251004,gpt-5-mini
VALIDATION_6_T,mean_round_normalized_efficiency,11,11,0.2590030455214262,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,6-T,0.2590030455214262,gpt-5-mini
VALIDATION_7_C,mean_round_normalized_efficiency,11,11,0.6992858919880498,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,7-C,0.6992858919880498,gpt-5-mini
VALIDATION_7_T,mean_round_normalized_efficiency,12,12,0.1727971662073779,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,7-T,0.1727971662073779,gpt-5-mini
VALIDATION_8_C,mean_round_normalized_efficiency,12,12,0.1907371691846137,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,8-C,0.1907371691846137,gpt-5-mini
VALIDATION_8_T,mean_round_normalized_efficiency,11,11,0.2249685865404284,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,8-T,0.2249685865404284,gpt-5-mini
VALIDATION_9_C,mean_round_normalized_efficiency,11,11,0.3158015707636919,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,9-C,0.3158015707636919,gpt-5-mini
VALIDATION_9_T,mean_round_normalized_efficiency,11,11,0.1135700382670079,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,9-T,0.1135700382670079,gpt-5-mini
VALIDATION_0_C,mean_total_contribution_rate,10,10,0.4014814814814815,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,0-C,0.4014814814814815,gpt-5-mini
VALIDATION_0_T,mean_total_contribution_rate,12,12,0.0984182098765432,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,0-T,0.0984182098765432,gpt-5-mini
VALIDATION_10_C,mean_total_contribution_rate,10,10,0.4119444444444445,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,10-C,0.4119444444444445,gpt-5-mini
VALIDATION_10_T,mean_total_contribution_rate,10,10,0.1444444444444444,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,10-T,0.1444444444444444,gpt-5-mini
VALIDATION_11_C,mean_total_contribution_rate,10,10,0.319032634032634,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,11-C,0.319032634032634,gpt-5-mini
VALIDATION_11_T,mean_total_contribution_rate,11,11,0.2026223776223776,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,11-T,0.2026223776223776,gpt-5-mini
VALIDATION_12_C,mean_total_contribution_rate,12,12,0.4456018518518519,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,12-C,0.4456018518518519,gpt-5-mini
VALIDATION_12_T,mean_total_contribution_rate,12,12,0.0631944444444444,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,12-T,0.0631944444444444,gpt-5-mini
VALIDATION_13_C,mean_total_contribution_rate,10,10,0.4489292851756087,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,13-C,0.4489292851756087,gpt-5-mini
VALIDATION_13_T,mean_total_contribution_rate,11,11,0.4063451744334096,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,13-T,0.4063451744334096,gpt-5-mini
VALIDATION_14_C,mean_total_contribution_rate,12,12,0.3164473684210527,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,14-C,0.3164473684210527,gpt-5-mini
VALIDATION_14_T,mean_total_contribution_rate,10,10,0.3179824561403508,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,14-T,0.3179824561403508,gpt-5-mini
VALIDATION_15_C,mean_total_contribution_rate,11,11,0.1725615293797111,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,15-C,0.1725615293797111,gpt-5-mini
VALIDATION_15_T,mean_total_contribution_rate,9,9,0.1667404200737534,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,15-T,0.1667404200737534,gpt-5-mini
VALIDATION_16_C,mean_total_contribution_rate,10,10,0.6078730158730158,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,16-C,0.6078730158730158,gpt-5-mini
VALIDATION_16_T,mean_total_contribution_rate,8,8,0.0518518518518518,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,16-T,0.0518518518518518,gpt-5-mini
